reward,avg_reward_100,steps
-1675.288670411103,-1239.3906953175224,200
-943.6272810612492,-1240.159141512389,200
-868.1561360385338,-1233.2142840031477,200
-980.9925257042315,-1230.976945988266,200
-860.8020508646478,-1228.9027124758443,200
-1179.882253830581,-1224.5187775678312,200
-1611.119700994288,-1225.9396542595446,200
-1276.5609437339424,-1224.1317895326417,200
-1504.6869257856902,-1229.5002143022857,200
-995.2154569063288,-1230.5400474392568,200
-1522.8463797035251,-1235.1181055839793,200
-1254.8485647779846,-1232.639964247524,200
-1047.7418281171986,-1228.8140196659708,200
-1108.4432321399365,-1228.8933253115435,200
-1277.5081196124067,-1226.4786784683452,200
-1049.021304951517,-1224.2273732647723,200
-1174.1187405558835,-1220.0572019282451,200
-1412.5012210968946,-1218.5983140254743,200
-1430.6429717336673,-1220.233065144145,200
-1641.5195679791896,-1224.7469678299321,200
-858.2095736349869,-1223.4602067643991,200
-1425.2595592080565,-1222.7303131890335,200
-1022.555671744936,-1222.2169378271317,200
-875.6175914194374,-1216.085961649182,200
-1523.4632984766702,-1215.5995227457577,200
-1297.9246462240624,-1217.7483389135841,200
-1623.0010930380397,-1225.115297104842,200
-1340.3047998381521,-1226.0798527193874,200
-1018.4836127222884,-1226.7638660407665,200
-943.2426900915119,-1220.250911403379,200
-1375.0558024059692,-1224.329041946902,200
-861.1887127661138,-1223.2552390902465,200
-1595.6645231846232,-1229.0599949392492,200
-756.4568763234702,-1227.2381956884744,200
-888.0900129439417,-1226.6531795379583,200
-1272.1616373762674,-1229.5331390487247,200
