reward,avg_reward_100,steps
-2.070323960140353,-165.40500909703343,200
-126.85160452888945,-165.39238695494524,200
-127.76888156460367,-160.67642979029975,200
-369.73064334876904,-163.1317566169758,200
-225.73314746411515,-164.14811169325577,200
-120.82462766465058,-164.15139677052363,200
-246.02015792492898,-165.409353089303,200
-326.1440724211411,-167.38659422333265,200
-0.8490335273807907,-166.21360607443842,200
-249.2229908372055,-167.42914725028098,200
-122.11508239037232,-167.41963715644047,200
-124.55947957723463,-167.4519527733202,200
-118.07023251681976,-167.45148290012668,200
-116.48385730876286,-167.4504016511694,200
-121.20087901844174,-167.50673424236945,200
-386.3565002831009,-170.1590720267758,200
