Year,Entity,Sector,Oil Consumption - KTOE
1973,Africa (BP),Overall,4726.739466895959
1974,Africa (BP),Overall,4882.198624247636
1975,Africa (BP),Overall,5128.157007738608
1976,Africa (BP),Overall,5611.182287188306
1977,Africa (BP),Overall,5977.354256233878
1978,Africa (BP),Overall,6295.623387790198
1979,Africa (BP),Overall,6628.879277730009
1980,Africa (BP),Overall,7026.989681857265
1981,Africa (BP),Overall,7599.844368013757
1982,Africa (BP),Overall,7955.522184006878
1983,Africa (BP),Overall,8293.656061908856
1984,Africa (BP),Overall,8441.547721410147
1985,Africa (BP),Overall,8659.431298366295
1986,Africa (BP),Overall,8500.371453138436
1987,Africa (BP),Overall,8960.177987962166
1988,Africa (BP),Overall,9340.225279449698
1989,Africa (BP),Overall,9664.02837489252
1990,Africa (BP),Overall,9822.89595872743
1991,Africa (BP),Overall,9877.086844368014
1992,Africa (BP),Overall,10064.700773860704
1993,Africa (BP),Overall,10146.834049871024
1994,Africa (BP),Overall,10506.316423043852
1995,Africa (BP),Overall,10892.361994840929
1996,Africa (BP),Overall,11126.149613069647
1997,Africa (BP),Overall,11455.486672398969
1998,Africa (BP),Overall,11724.06448839209
1999,Africa (BP),Overall,12163.028374892518
2000,Africa (BP),Overall,12213.125537403268
2001,Africa (BP),Overall,12318.695614789338
2002,Africa (BP),Overall,12718.543422184008
2003,Africa (BP),Overall,13111.049871023217
2004,Africa (BP),Overall,13641.536543422184
2005,Africa (BP),Overall,14229.744625967325
2006,Africa (BP),Overall,14391.374032674117
2007,Africa (BP),Overall,14916.085984522786
2008,Africa (BP),Overall,15690.894239036974
2009,Africa (BP),Overall,16216.47807394669
2010,Africa (BP),Overall,16906.40240756664
2011,Africa (BP),Overall,16630.87618228719
2012,Africa (BP),Overall,17599.57007738607
2013,Africa (BP),Overall,18241.11263972485
2014,Africa (BP),Overall,18429.35081685297
2015,Africa (BP),Overall,18909.243336199484
2016,Africa (BP),Overall,19010.54170249355
2017,Africa (BP),Overall,19201.116079105763
2018,Africa (BP),Overall,19411.02321582115
2019,Africa (BP),Overall,19450.009458297503
2020,Africa (BP),Overall,17291.93981083405
2021,Africa (BP),Overall,18775.081685296645
1965,Algeria,Overall,132.46131986242477
1966,Algeria,Overall,174.3138865004299
1967,Algeria,Overall,162.87215821152193
1968,Algeria,Overall,173.40757523645743
1969,Algeria,Overall,183.19802235597592
1970,Algeria,Overall,209.3523731728289
1971,Algeria,Overall,235.9419604471195
1972,Algeria,Overall,258.99754084264833
1973,Algeria,Overall,282.8920464316423
1974,Algeria,Overall,314.22048151332757
1975,Algeria,Overall,349.3608770421324
1976,Algeria,Overall,401.7001719690456
1977,Algeria,Overall,454.0540842648323
1978,Algeria,Overall,469.54380051590715
1979,Algeria,Overall,561.6390369733448
1980,Algeria,Overall,569.2384350816853
1981,Algeria,Overall,613.2680481513328
1982,Algeria,Overall,649.8144453998281
1983,Algeria,Overall,729.9434221840069
1984,Algeria,Overall,808.2717970765262
1985,Algeria,Overall,830.213241616509
1986,Algeria,Overall,842.8310834049871
1987,Algeria,Overall,852.1111349957008
1988,Algeria,Overall,852.7308684436802
1989,Algeria,Overall,893.694411006019
1990,Algeria,Overall,961.4068357695616
1991,Algeria,Overall,951.2277300085984
1992,Algeria,Overall,956.9445915735167
1993,Algeria,Overall,952.3205073086845
1994,Algeria,Overall,911.8735683576956
1995,Algeria,Overall,886.8639724849527
1996,Algeria,Overall,846.2775580395528
