,ServiceNo,Operator,max_distance,max_StopSequence,WD_FirstBus,WD_LastBus
312,51A,SBST,2.9,9,0003,0020
313,52,SBST,25.4,49,0545,2345
314,529,SMRT,5.7,19,Doesnt run,Doesnt run
315,53,SBST,53.0,87,0530,2315
316,530,SMRT,5.4,15,0820,0835
317,531,SMRT,20.7,33,0745,0810
318,533,SBST,18.8,24,0735,0745
319,534,SBST,17.0,17,0755,0755
320,535,SBST,17.4,19,0800,0800
321,536,SBST,24.1,15,0745,0745
322,538,SBST,30.7,22,0735,0745
323,539,SBST,29.7,17,0735,0745
324,53A,SBST,11.9,19,0714,0817
325,53M,SBST,6.0,18,0600,2300
326,54,SBST,17.7,44,0545,2300
327,546,SMRT,8.0,15,0810,0810
328,55,SBST,21.4,52,0530,2345
329,552,SBST,26.9,18,0745,0745
330,553,SBST,27.0,17,0745,0745
331,55B,SBST,3.4,8,1906,1936
332,56,SBST,12.9,29,0530,2330
333,560,SBST,15.5,17,0745,0755
334,561,SBST,12.7,13,0800,0800
335,563,SBST,17.2,13,0800,0800
336,564,SBST,10.7,19,0800,0805
337,565,SBST,11.4,14,0800,0800
338,569,SBST,27.5,17,0745,0745
339,57,SBST,22.4,50,0600,2330
340,58,SBST,20.9,46,0530,2400
341,585,SBST,17.7,19,0750,0800
342,587,SMRT,29.7,32,0740,0740
343,588,SMRT,17.0,25,0800,0800
344,589,SMRT,17.3,20,0800,0800
345,58A,SBST,11.7,27,0802,1822
346,58B,SBST,12.4,24,0748,1819
347,59,SBST,26.8,53,0545,2330
348,590,SMRT,26.2,25,0740,0750
349,598,SMRT,20.9,30,0745,0755
350,599,SMRT,17.5,18,0745,0745
351,5N,SBST,38.6,72,Doesnt run,Doesnt run
352,6,GAS,11.6,32,0620,1930
353,60,SBST,15.2,33,0530,0030
354,60A,SBST,3.8,10,1809,2117
355,61,SMRT,39.6,97,0520,2330
356,62,GAS,35.3,88,0530,2350
357,62A,GAS,16.0,41,1811,2003
358,63,SBST,38.9,103,0530,2400
359,63M,SBST,12.6,35,0535,0030
360,64,SBST,30.5,82,0530,2330
361,65,SBST,25.2,64,0530,2330
362,653,SMRT,21.8,24,0715,0745
363,655,SBST,17.9,22,0735,0750
364,656,SMRT,28.6,23,0720,0740
365,657,SMRT,21.2,21,0730,0745
366,66,TTS,33.2,88,0530,2300
367,660,SBST,18.0,19,0730,0750
368,661,GAS,25.8,17,0730,0750
369,663,TTS,26.1,22,0720,0750
370,665,TTS,30.8,23,0700,0740
371,66A,TTS,15.9,43,Doesnt run,Doesnt run
372,66B,TTS,31.5,52,Doesnt run,Doesnt run
373,67,SMRT,33.2,84,0530,2300
374,67A,SMRT,12.0,31,0530,2300
375,67W,SMRT,15.8,39,Doesnt run,Doesnt run
376,68,GAS,13.9,42,0530,2345
377,69,SBST,13.6,31,0530,2330
378,6N,SBST,34.5,62,Doesnt run,Doesnt run
379,7,SBST,23.0,56,0530,2330
380,70,SBST,23.5,57,0545,1800
381,700,SMRT,21.4,38,0555,1834
382,700A,SMRT,39.6,67,1846,2330
383,70A,SBST,21.1,52,2315,2345
384,70B,SBST,6.2,18,0650,0952
385,70M,SBST,42.0,105,1815,2300
386,71,SBST,17.0,42,0600,2330
387,72,SBST,17.4,46,0530,2330
388,72A,SBST,6.7,20,0611,1010
389,72B,SBST,1.8,5,0658,1015
390,73,SBST,24.9,56,0530,2345
391,73A,SBST,12.3,28,2335,2345
392,74,SBST,27.7,64,0530,2330
393,74e,SBST,27.7,41,0700,0730
394,75,SMRT,25.6,62,0525,2330
395,75A,SMRT,8.6,21,0701,0701
396,76,SBST,15.9,44,0530,2315
397,761,SBST,17.8,18,0750,0800
