Unnamed: 0,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,AM_Peak_Freq,AM_Offpeak_Freq,PM_Peak_Freq,PM_Offpeak_Freq,LoopDesc
614,975,SMRT,1,TRUNK,45009.0,45009.0,07,07-11,06-09,09-12,Lim Chu Kang Rd
615,975B,SMRT,1,TRUNK,44531.0,33041.0,12-44,-,08-28,09-80,No Loop
616,979,SMRT,1,TRUNK,45009.0,45009.0,04-06,05-08,05-06,06-09,Choa Chu Kang Cres
617,980,SMRT,1,TRUNK,58009.0,80009.0,12-15,14-17,14-18,15-18,No Loop
618,980,SMRT,2,TRUNK,80009.0,58009.0,15-16,14-17,16-17,14-16,No Loop
619,981,SMRT,1,TRUNK,58009.0,47199.0,12-15,13-15,-,-,No Loop
620,981,SMRT,2,TRUNK,47121.0,58009.0,-,-,18-20,17-20,No Loop
621,982E,SMRT,1,EXPRESS,44589.0,3391.0,15,-,-,-,No Loop
622,982E,SMRT,2,EXPRESS,3539.0,44581.0,-,-,15,-,No Loop
623,983,SMRT,1,TRUNK,44009.0,44009.0,05-06,06-08,05-07,06-09,Jelebu Rd
624,983A,SMRT,1,TRUNK,44009.0,44131.0,-,-,-,15-20,No Loop
625,985,SMRT,1,TRUNK,44009.0,80009.0,08-10,09-11,11,11-12,No Loop
626,985,SMRT,2,TRUNK,80009.0,44009.0,09-10,09-13,10,11-12,No Loop
627,991,SMRT,1,TRUNK,43009.0,44009.0,10-12,11-13,10-12,10-15,No Loop
628,991,SMRT,2,TRUNK,44009.0,43009.0,10-12,12-13,10-12,10-19,No Loop
629,991A,SMRT,1,TRUNK,43009.0,43341.0,-,-,-,15,No Loop
630,991B,SMRT,1,TRUNK,44009.0,44099.0,-,-,-,18-19,No Loop
631,BPS1,SMRT,1,TRUNK,44699.0,44009.0,20,-,-,-,No Loop
632,BPS1,SMRT,2,TRUNK,44539.0,44691.0,-,-,20,-,No Loop
633,NR1,SMRT,1,NIGHT RIDER,14519.0,59561.0,-,-,-,25-25,Yishun Ring Rd
634,NR2,SMRT,1,NIGHT RIDER,2099.0,58291.0,-,-,-,30-30,Sembawang Dr
635,NR3,SMRT,1,NIGHT RIDER,5029.0,44009.0,-,-,-,30,No Loop
636,NR5,SMRT,1,NIGHT RIDER,2099.0,22449.0,-,-,-,30,No Loop
637,NR6,SMRT,1,NIGHT RIDER,14519.0,67171.0,-,-,-,29-29,Anchorvale Dr
638,NR7,SMRT,1,NIGHT RIDER,2099.0,98029.0,-,-,-,29,No Loop
639,NR8,SMRT,1,NIGHT RIDER,2099.0,43609.0,-,-,-,29-29,Bt Batok West Ave 5
640,106,TTS,1,TRUNK,43009.0,3218.0,06-09,06-12,10-10,10-13,No Loop
641,106,TTS,2,TRUNK,3239.0,43009.0,08-10,07-12,07-12,11-12,No Loop
642,106A,TTS,1,TRUNK,43009.0,17179.0,13-45,-,-,-,No Loop
643,143,TTS,1,TRUNK,52009.0,28009.0,08-09,08-13,10-14,13-14,No Loop
644,143,TTS,2,TRUNK,28009.0,52009.0,08-10,08-13,12-13,12-13,No Loop
645,143M,TTS,1,TRUNK,28009.0,28009.0,13-15,14-16,14-16,14-16,Pandan Gdns
646,173,TTS,1,TRUNK,43009.0,43009.0,08-12,09-14,09-10,15-15,Clementi Ave 3
647,173A,TTS,1,TRUNK,43009.0,43169.0,-,-,-,15-15,Bt Batok East Ave 4
648,177,TTS,1,TRUNK,43009.0,43009.0,13-15,12-15,12-12,-,Jelebu Rd
649,183,TTS,1,TRUNK,28009.0,28009.0,05-08,05-15,06-09,16-19,Science Pk Rd
650,183B,TTS,1,TRUNK,28009.0,28189.0,03-08,03-13,-,-,No Loop
651,189,TTS,1,TRUNK,43009.0,43009.0,06-08,05-11,07-11,10-12,Clementi Ave 1
652,189A,TTS,1,TRUNK,43009.0,43319.0,06-15,07-13,-,15-20,Bt Batok St 23
653,282,TTS,1,FEEDER,17009.0,17009.0,08-10,10-12,07-10,08-12,Clementi West St 2
654,284,TTS,1,FEEDER,17009.0,17009.0,05-06,06-08,04-06,04-07,Clementi Ave 4
655,285,TTS,1,FEEDER,17009.0,17009.0,05-06,05-12,05-06,06-14,Pandan Loop
656,333,TTS,1,FEEDER,28009.0,28009.0,07-09,08-12,08-08,08-12,Jurong East St 32
657,334,TTS,1,FEEDER,28009.0,28009.0,05-06,06-10,05-06,05-12,Jurong West St 42
658,335,TTS,1,FEEDER,28009.0,28009.0,07-08,07-13,07-08,07-14,Jurong West St 41
659,41,TTS,1,TRUNK,28009.0,28009.0,10-12,13-15,11-15,12-15,Jln Anak Bt
660,49,TTS,1,TRUNK,28009.0,28009.0,09-10,10-14,09-14,10-12,Jurong West St 42
661,66,TTS,1,TRUNK,84009.0,28009.0,09-11,10-17,12-16,15-16,No Loop
662,66,TTS,2,TRUNK,28009.0,84009.0,09-12,10-16,12-16,10-16,No Loop
663,663,TTS,1,EXPRESS,59591.0,3218.0,15 -15,-,-,-,No Loop
664,663,TTS,2,EXPRESS,3241.0,59599.0,-,-,15 -15,-,No Loop
665,665,TTS,1,EXPRESS,46141.0,3218.0,08 -08,-,-,-,No Loop
666,665,TTS,2,EXPRESS,3241.0,46149.0,-,-,15 -15,-,No Loop
667,66A,TTS,1,TRUNK,84009.0,40011.0,-,-,-,-,No Loop
668,66B,TTS,1,TRUNK,60139.0,28009.0,-,-,-,-,No Loop
669,66B,TTS,2,TRUNK,28009.0,7031.0,-,-,-,-,No Loop
670,77,TTS,1,TRUNK,43009.0,2099.0,10-11,11-12,11-14,10-15,No Loop
671,77,TTS,2,TRUNK,2099.0,43009.0,11-14,10-12,12-13,13-15,No Loop
672,78,TTS,1,TRUNK,28009.0,28009.0,06-08,06-15,07-08,11-15,Clementi Ave 3
673,78A,TTS,1,TRUNK,28009.0,29121.0,03-08,-,-,-,Tg Penjuru
674,79,TTS,1,TRUNK,28009.0,28009.0,06-10,08-18,08-12,15-17,Jurong West Ctrl 3
675,79A,TTS,1,TRUNK,28009.0,22009.0,-,-,-,15-15,No Loop
676,941,TTS,1,FEEDER,43009.0,43009.0,06-07,07-10,06-07,06-12,Bukit Batok West Avenue 9
677,945,TTS,1,FEEDER,43009.0,43009.0,06-09,07-10,06-07,06-15,Bt Batok St 34
678,947,TTS,1,FEEDER,43009.0,43009.0,05-09,08-09,06-08,06-09,Bt Batok Rd
679,96,TTS,1,TRUNK,17009.0,17009.0,06-07,05-13,05-07,05-10,Kent Ridge Cres
680,96A,TTS,1,TRUNK,17009.0,16169.0,08-10,03-09,-,-,No Loop
681,96B,TTS,1,TRUNK,17009.0,17171.0,-,06-19,05-19,-,No Loop
682,97,TTS,1,TRUNK,28009.0,2099.0,09-10,06-13,06-13,13-14,No Loop
683,97,TTS,2,TRUNK,2099.0,28009.0,10-11,07-14,09-10,13-13,No Loop
684,974,TTS,1,TRUNK,44029.0,24009.0,15-15,15-15,15-15,15-15,No Loop
685,974,TTS,2,TRUNK,24009.0,44031.0,15-15,15-15,15-15,15-15,No Loop
686,974A,TTS,1,TRUNK,44029.0,44539.0,-,-,-,08-15,No Loop
687,97e,TTS,1,EXPRESS,28009.0,2099.0,12-12,-,-,-,No Loop
688,97e,TTS,2,EXPRESS,2099.0,28009.0,-,-,12-12,-,No Loop
689,98,TTS,1,TRUNK,28009.0,28009.0,05-08,06-16,08-10,10-20,Jurong Pier Way
690,98A,TTS,1,TRUNK,28091.0,21179.0,-,-,06-10,10-20,No Loop
691,98B,TTS,1,TRUNK,28501.0,21099.0,05-09,-,-,-,No Loop
692,98M,TTS,1,TRUNK,28009.0,28009.0,-,14-18,-,14-18,Corporation Rd
693,990,TTS,1,TRUNK,43009.0,43009.0,12-12,12-12,12-12,12-13,Jurong Gateway Rd
694,225,SBST,1,FEEDER,84009.0,84009.0,03-05,03-13,03-06,04-12,Bedok North St 3
695,225,SBST,2,FEEDER,84009.0,84009.0,04-06,05-09,04-07,04-10,Bedok North St 3
696,243,SBST,1,FEEDER,22009.0,22009.0,05-06,03-06,04-04,04-08,Jurong West Ave 5
697,243,SBST,2,FEEDER,22009.0,22009.0,05-08,03-07,03-05,03-10,Jurong West Ave 5
698,410,SBST,1,FEEDER,53009.0,53009.0,05-06,05-10,04-05,04-12,Shunfu Road
699,410,SBST,2,FEEDER,53009.0,53009.0,05-06,05-12,06-06,06-14,Shunfu Road
700,533,SBST,1,FLAT FARE $4.20,28009.0,3011.0,10-10,-,-,-,No Loop
701,534,SBST,1,FLAT FARE $4.20,63219.0,3011.0,-,-,-,-,No Loop
702,535,SBST,1,FLAT FARE $4.20,52371.0,3011.0,-,-,-,-,No Loop
703,536,SBST,1,FLAT FARE $4.50,22009.0,3011.0,-,-,-,-,No Loop
704,538,SBST,1,FLAT FARE $4.50,77009.0,3011.0,10-10,-,-,-,No Loop
705,539,SBST,1,FLAT FARE $4.50,77009.0,3011.0,10-10,-,-,-,No Loop
706,552,SBST,1,FLAT FARE $4.50,75009.0,3011.0,-,-,-,-,No Loop
707,553,SBST,1,FLAT FARE $4.50,75009.0,3011.0,-,-,-,-,No Loop
708,560,SBST,1,FLAT FARE $4.20,12169.0,3011.0,05-05,-,-,-,No Loop
709,561,SBST,1,FLAT FARE $4.00,70059.0,3011.0,-,-,-,-,No Loop
710,563,SBST,1,FLAT FARE $4.20,42011.0,3011.0,-,-,-,-,No Loop
711,564,SBST,1,FLAT FARE $4.00,41119.0,3011.0,05-05,-,-,-,No Loop
712,565,SBST,1,FLAT FARE $4.00,52471.0,3011.0,-,-,-,-,No Loop
713,569,SBST,1,FLAT FARE $4.50,65009.0,3011.0,-,-,-,-,No Loop
714,585,SBST,1,FLAT FARE $4.20,82009.0,3011.0,10-10,-,-,-,No Loop
715,761,SBST,1,FLAT FARE $4.20,56251.0,3011.0,10-10,-,-,-,No Loop
716,529,SMRT,1,FLAT FARE $2.70,55509.0,55509.0,-,-,25,25,No Loop
717,530,SMRT,1,FLAT FARE $3.50,13051.0,3218.0,15,-,-,-,No Loop
718,531,SMRT,1,FLAT FARE $5.00,96129.0,3218.0,04-08,-,-,-,No Loop
719,531,SMRT,2,FLAT FARE $5.00,3222.0,96121.0,-,-,15,-,No Loop
720,546,SMRT,1,FLAT FARE $3.50,60221.0,3218.0,-,-,-,-,No Loop
721,587,SMRT,1,FLAT FARE $5.00,46861.0,3218.0,-,-,-,-,No Loop
722,588,SMRT,1,FLAT FARE $4.00,53369.0,3218.0,-,-,-,-,No Loop
723,589,SMRT,1,FLAT FARE $4.00,17429.0,3011.0,-,-,-,-,No Loop
724,590,SMRT,1,FLAT FARE $5.00,45421.0,3218.0,10,-,-,-,No Loop
725,598,SMRT,1,FLAT FARE $5.00,44859.0,3218.0,10,-,-,-,No Loop
726,599,SMRT,1,FLAT FARE $5.00,64449.0,3218.0,-,-,-,-,No Loop
727,3A,GAS,1,TRUNK,75009.0,77331.0,00-00,12-75,08-37,12-99,No Loop
728,36B,GAS,1,TRUNK,93049.0,93199.0,8-8,9-99,09-09,-,Tomlinson Rd
