,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,LoopDesc,StopSequence,BusStopCode,TotalDistance,WD_FirstBus,WD_LastBus,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus
150,856A,SMRT,1,TRUNK,46009.0,46069.0,No Loop,7,46069,3.4,1810,1953,-,-,-,-
151,856,SMRT,2,TRUNK,46009.0,59009.0,No Loop,39,59009,16.3,0610,0041,0610,0041,0630,0036
152,855,SMRT,2,TRUNK,14009.0,59009.0,No Loop,59,59009,26.4,0647,0042,0644,0038,0639,0037
153,854e,SMRT,1,EXPRESS,59009.0,84009.0,No Loop,33,84009,22.3,0740,0819,-,-,-,-
154,854,SMRT,2,TRUNK,84009.0,59009.0,No Loop,56,59009,22.4,0636,0047,0649,0045,0647,0043
155,853C,SMRT,2,TRUNK,94009.0,59009.0,No Loop,77,59009,31.3,-,-,-,-,0724,0058
156,853,SMRT,2,TRUNK,80009.0,59009.0,No Loop,46,59009,19.6,0653,0038,0644,0031,-,-
157,825,SMRT,1,TRUNK,55509.0,55509.0,Lentor Loop,15,55509,5.7,0650,2108,0650,1444,-,-
158,75A,SMRT,1,TRUNK,481.0,12099.0,No Loop,21,12099,8.6,0738,0738,-,-,-,-
159,75,SMRT,2,TRUNK,2099.0,481.0,No Loop,62,00481,25.6,0703,0053,0706,0055,0739,0049
160,700A,SMRT,1,TRUNK,481.0,481.0,Temasek Ave,67,00481,39.6,2058,0032,1524,0030,0554,0032
161,700,SMRT,2,TRUNK,3239.0,481.0,No Loop,38,00481,21.2,0550,2045,0551,1511,-,-
162,67W,SMRT,1,TRUNK,75009.0,40011.0,No Loop,39,40011,15.8,-,-,-,-,1708,1827
163,67A,SMRT,1,TRUNK,44009.0,41049.0,No Loop,31,41049,12.0,0545,2332,0545,2331,0604,2329
164,67,SMRT,2,TRUNK,75009.0,44009.0,No Loop,84,44009,33.2,0611,0110,0618,0107,0609,0108
165,657,SMRT,2,CITY_LINK,3539.0,28531.0,No Loop,20,28531,21.2,1928,1943,-,-,-,-
166,656,SMRT,2,EXPRESS,3241.0,58129.0,No Loop,23,58129,28.6,1934,1949,-,-,-,-
167,653,SMRT,2,CITY_LINK,3539.0,43268.0,No Loop,24,43268,21.6,1931,1946,-,-,-,-
168,61,SMRT,2,TRUNK,82009.0,43009.0,No Loop,91,43009,35.7,0704,0127,0706,0126,0713,0128
169,307A,SMRT,1,FEEDER,44009.0,44531.0,Choa Chu Kang St 62,18,44531,6.6,0650,0120,0737,1008,0742,1029
170,307,SMRT,1,FEEDER,44009.0,44009.0,Choa Chu Kang St 62,36,44009,11.9,0556,0118,0552,0112,0550,0113
171,302A,SMRT,1,FEEDER,45321.0,45329.0,No Loop,8,45329,2.3,0617,1937,-,-,-,-
172,302,SMRT,1,FEEDER,44009.0,44009.0,Choa Chu Kang Cres,23,44009,8.1,0541,0123,0541,0123,0540,0125
173,301,SMRT,1,FEEDER,44009.0,44009.0,Keat Hong Cl,20,44009,5.5,0528,0117,0528,0117,0528,0117
174,300,SMRT,1,FEEDER,44009.0,44009.0,Choa Chu Kang Ave 3,16,44009,5.8,0535,0121,0534,0123,0534,0122
175,190A,SMRT,1,TRUNK,44009.0,8057.0,No Loop,23,08057,18.7,0612,0845,-,-,-,-
176,190,SMRT,2,TRUNK,10499.0,44009.0,No Loop,35,44009,22.6,0624,0040,0623,0040,0622,0036
177,188R,SMRT,2,EXPRESS,14519.0,44009.0,No Loop,28,44009,23.8,-,-,0934,0028,0934,0028
178,188e,SMRT,1,EXPRESS,44009.0,14009.0,No Loop,37,14009,22.0,0818,0833,-,-,-,-
179,188,SMRT,2,TRUNK,14009.0,44009.0,No Loop,54,44009,22.2,0651,0031,0704,0032,0729,0029
180,187,SMRT,2,TRUNK,22009.0,46009.0,No Loop,41,46009,24.1,0609,0120,0606,0106,0620,0107
181,184,SMRT,1,TRUNK,481.0,481.0,C'wealth Ave West,55,00481,22.6,0641,0011,0706,0008,0700,0005
182,180A,SMRT,1,TRUNK,22009.0,44259.0,No Loop,26,44259,11.1,1916,0019,2346,0018,2348,0022
183,180,SMRT,1,TRUNK,22009.0,22009.0,Bt Panjang Rd,48,22009,21.4,0601,0006,0601,0005,0610,0011
184,178A,SMRT,1,TRUNK,46009.0,45139.0,No Loop,13,45139,4.9,0600,0858,-,-,-,-
185,178,SMRT,2,TRUNK,22009.0,46009.0,No Loop,72,46009,30.3,0548,0046,0547,0044,0552,0044
186,176,SMRT,2,TRUNK,10009.0,45009.0,No Loop,61,45009,22.9,0629,0032,0624,0034,0622,0034
187,172,SMRT,2,TRUNK,22009.0,44009.0,No Loop,32,44009,14.2,0612,0016,0612,0008,0640,0006
188,171,SMRT,2,TRUNK,2099.0,59009.0,No Loop,73,59009,34.3,0620,0108,0651,0100,0705,0058
189,169B,SMRT,1,TRUNK,46009.0,46711.0,No Loop,9,46711,3.7,0722,0755,-,-,-,-
190,169A,SMRT,1,TRUNK,46009.0,59073.0,No Loop,27,59073,11.8,0745,0803,-,-,-,-
191,169,SMRT,2,TRUNK,54009.0,46009.0,No Loop,53,46009,23.0,0643,0050,0637,0045,0628,0044
192,167e,SMRT,2,EXPRESS,3223.0,58009.0,No Loop,37,58009,30.2,0841,0035,0836,0032,0829,0030
193,167,SMRT,2,TRUNK,10009.0,58009.0,No Loop,70,58009,29.8,0717,0109,0702,0109,0717,0101
194,110,SMRT,1,TRUNK,67759.0,67759.0,PTB2 Basement,30,67759,39.9,0700,0125,0659,0126,0659,0126
195,CT8,SBST,2,FLAT FARE $2.00,10499.0,55151.0,No Loop,21,55151,17.6,1146,1749,1145,2246,1144,2246
196,CT18,SBST,2,FLAT FARE $2.00,10499.0,84219.0,No Loop,21,84219,19.8,1144,1748,1149,2247,1150,2248
197,9A,SBST,1,TRUNK,84009.0,98011.0,No Loop,21,98011,8.4,1859,2033,-,-,-,-
198,99,SBST,2,TRUNK,24009.0,17009.0,No Loop,45,17009,16.8,0619,0053,0614,0055,0609,0052
199,95B,SBST,1,TRUNK,16009.0,11361.0,No Loop,12,11361,4.5,1804,1906,-,-,-,-
200,95,SBST,1,TRUNK,16009.0,16009.0,Holland Rd,30,16009,11.5,0626,0013,0623,0014,0623,0018
201,94A,SBST,1,TRUNK,82009.0,73019.0,Airport Rd,14,73019,4.9,0725,0749,0721,0803,-,-
202,94,SBST,1,TRUNK,82009.0,82009.0,Airport Rd,27,82009,11.2,0643,2017,0642,2016,-,-
203,93,SBST,2,TRUNK,82009.0,14009.0,No Loop,54,14009,23.8,0627,0043,0623,0046,0653,0046
204,92M,SBST,1,TRUNK,11009.0,11009.0,Nth Buona Vista Rd,22,11009,7.8,-,-,-,-,0700,1838
205,92B,SBST,1,TRUNK,11009.0,18281.0,No Loop,12,18281,3.5,0653,2133,0944,2141,-,-
206,92A,SBST,1,TRUNK,11009.0,11351.0,Science Pk Dr,22,11351,7.2,1532,2014,-,-,-,-
207,92,SBST,1,TRUNK,11009.0,11009.0,Science Pk Dr,36,11009,11.8,0617,2035,0618,2036,-,-
208,91,SBST,1,TRUNK,11379.0,11389.0,Ayer Rajah Cres,18,11389,6.6,0659,2032,0658,1828,-,-
209,90A,SBST,1,TRUNK,52009.0,71189.0,Airport Rd,23,71189,9.1,0642,0926,0635,0658,-,-
210,90,SBST,1,TRUNK,52009.0,52009.0,Airport Rd,37,52009,16.4,0701,0010,0651,0013,0646,0012
211,9,SBST,1,TRUNK,84009.0,84009.0,Airport Cargo Rd,86,84009,33.2,0651,0126,0644,0121,0659,0125
212,89e,SBST,2,EXPRESS,95051.0,64009.0,No Loop,32,64009,21.8,1856,1935,-,-,-,-
213,89A,SBST,1,TRUNK,77289.0,95039.0,Airport Cargo Rd,36,95039,13.0,0706,0830,-,-,-,-
214,89,SBST,1,TRUNK,64009.0,64009.0,Airport Cargo Rd,95,64009,43.4,0615,0046,0614,0053,0611,0042
215,88B,SBST,1,TRUNK,54261.0,66471.0,No Loop,12,66471,3.6,0734,0836,-,-,-,-
216,88A,SBST,1,TRUNK,65069.0,54269.0,No Loop,27,54269,9.7,0734,1250,-,-,-,-
217,88,SBST,2,TRUNK,52009.0,77009.0,No Loop,50,77009,23.8,0619,0046,0622,0057,0616,0048
218,87,SBST,2,TRUNK,84009.0,67009.0,No Loop,31,67009,13.3,0621,0016,0619,0019,0615,0019
219,860,SBST,1,TRUNK,59009.0,59009.0,Ang Mo Kio Ave 8,73,59009,28.3,0619,0026,0624,0033,0625,0033
220,86,SBST,2,TRUNK,54009.0,67009.0,No Loop,31,67009,15.1,0647,0011,0644,0011,0644,0011
221,852,SBST,2,TRUNK,43009.0,59009.0,No Loop,52,59009,23.7,0646,0045,0648,0053,0704,0048
222,851e,SBST,2,EXPRESS,5012.0,59009.0,No Loop,22,59009,20.6,0834,0032,0835,0035,0835,0035
223,851,SBST,2,TRUNK,10009.0,59009.0,No Loop,55,59009,23.1,0708,0109,0703,0107,0659,0106
224,850E,SBST,2,EXPRESS,3222.0,59579.0,No Loop,26,59579,25.9,1934,1953,-,-,-,-
225,812,SBST,1,FEEDER,59009.0,59009.0,Yishun Ave 4,31,59009,11.2,0607,0122,0605,0125,0602,0123
226,811A,SBST,1,FEEDER,59009.0,59159.0,Sembawang Rd,14,59159,4.6,1736,2021,-,-,-,-
227,811,SBST,1,FEEDER,59009.0,59009.0,Yishun Ave 5,43,59009,15.9,0626,0127,0625,0125,0635,0120
228,81,SBST,1,TRUNK,75009.0,75009.0,S'goon Ctrl,68,75009,33.9,0651,0115,0641,0116,0655,0121
229,80A,SBST,1,TRUNK,67009.0,81089.0,No Loop,31,81089,12.3,0642,1009,-,-,-,-
230,807A,SBST,1,FEEDER,59009.0,59569.0,No Loop,13,59569,3.9,0623,0920,0730,0941,0729,1009
231,807,SBST,1,FEEDER,59009.0,59009.0,Yishun St 71,35,59009,11.8,0614,0142,0615,0150,0624,0150
232,806,SBST,1,FEEDER,59009.0,59009.0,Yishun Ave 6,14,59009,5.2,0546,0122,0547,0121,0556,0121
233,805,SBST,1,FEEDER,59009.0,59009.0,Yishun Ave 1,19,59009,6.9,0557,0132,0559,0132,0610,0132
234,804,SBST,1,FEEDER,59009.0,59009.0,Yishun Ave 11,22,59009,8.3,0534,0131,0546,0132,0614,0133
235,803,SBST,1,FEEDER,59009.0,59009.0,Yishun Ave 6,8,59009,2.9,0538,0111,0538,0113,0548,0113
236,800,SBST,1,FEEDER,59009.0,59009.0,Sembawang Rd,19,59009,6.9,0604,0126,0607,0132,0618,0133
237,80,SBST,2,TRUNK,14009.0,67009.0,No Loop,58,67009,23.1,0638,0140,0638,0137,0723,0138
238,8,SBST,2,TRUNK,52009.0,75009.0,No Loop,42,75009,17.4,0652,0025,0659,0028,0656,0030
239,7B,SBST,1,TRUNK,17009.0,8057.0,No Loop,25,08057,10.7,0634,2324,0634,2308,0634,2308
240,7A,SBST,1,TRUNK,84009.0,9022.0,No Loop,35,09022,13.6,0645,2332,0641,2319,0643,2317
241,76,SBST,2,TRUNK,82009.0,55509.0,No Loop,44,55509,15.9,0655,0026,0651,0026,0648,0026
242,74e,SBST,2,EXPRESS,11379.0,64009.0,No Loop,41,64009,27.7,1905,1940,-,-,-,-
243,74,SBST,2,TRUNK,11379.0,64009.0,No Loop,64,64009,27.7,0632,0042,0625,0041,0624,0032
244,73A,SBST,1,TRUNK,54009.0,52009.0,Lor 6 Toa Payoh,28,52009,12.3,0014,0023,0011,0022,0009,0022
245,73,SBST,1,TRUNK,54009.0,54009.0,Lor 6 Toa Payoh,56,54009,24.9,0532,0039,0610,0042,0644,0040
246,72B,SBST,1,TRUNK,55509.0,54481.0,No Loop,5,54481,1.8,0710,1025,-,-,-,-
247,72A,SBST,1,TRUNK,55509.0,64549.0,No Loop,20,64549,6.7,0642,1040,-,-,-,-
248,72,SBST,2,TRUNK,75009.0,55509.0,No Loop,45,55509,16.6,0610,0038,0610,0038,0640,0038
249,71,SBST,1,TRUNK,55509.0,55509.0,Bishan St 11,42,55509,17.0,0637,0042,0639,0049,0639,0049
250,70M,SBST,1,TRUNK,55509.0,55509.0,Temasek Ave,105,55509,42.0,2035,0107,2035,0112,0711,0109
251,70B,SBST,1,TRUNK,55101.0,66359.0,No Loop,18,66359,6.2,0717,1014,-,-,-,-
252,70A,SBST,1,TRUNK,55509.0,2171.0,Temasek Ave,52,02171,21.1,0020,0050,0026,0050,0021,0048
253,70,SBST,2,TRUNK,3239.0,55509.0,No Loop,57,55509,23.5,0644,2103,0648,2053,-,-
254,7,SBST,2,TRUNK,17009.0,84009.0,No Loop,52,84009,22.7,0646,0041,0646,0043,0657,0039
255,6N,SBST,1,NIGHT SERVICE,2099.0,65201.0,No Loop,62,65201,34.5,-,-,0121,0321,-,-
256,69,SBST,1,TRUNK,75009.0,75009.0,Bedok Nth Dr,31,75009,13.6,0613,0025,0614,0023,0624,0026
257,660,SBST,2,EXPRESS,3241.0,66489.0,No Loop,19,66489,18.0,1925,1940,-,-,-,-
258,655,SBST,2,CITY_LINK,3539.0,20121.0,No Loop,21,20121,17.9,1908,1923,-,-,-,-
259,65,SBST,2,TRUNK,14009.0,75009.0,No Loop,62,75009,24.4,0658,0124,0648,0126,0640,0121
260,64,SBST,1,TRUNK,80289.0,80289.0,Mei Ling St,82,80289,30.5,0719,0101,0713,0109,0654,0102
261,63M,SBST,1,TRUNK,82009.0,82009.0,Circuit Rd,35,82009,12.6,0624,0110,0620,0113,0620,0113
262,63,SBST,1,TRUNK,82009.0,82009.0,Jln Rumah Tinggi,103,82009,38.9,2400,0110,0009,0113,0004,0059
263,60A,SBST,1,TRUNK,82009.0,84511.0,No Loop,10,84511,3.8,1830,2135,-,-,-,-
264,60,SBST,1,TRUNK,82009.0,82009.0,Bedok Nth Dr,33,82009,15.2,0529,0026,0529,0026,0555,0026
265,5N,SBST,1,NIGHT SERVICE,2099.0,27159.0,No Loop,72,27159,38.6,-,-,0137,0337,-,-
266,59,SBST,2,TRUNK,99009.0,53009.0,No Loop,52,53009,26.8,0648,0031,0712,0035,0707,0035
267,58B,SBST,1,TRUNK,77009.0,70281.0,No Loop,24,70281,12.4,0844,1908,-,-,-,-
268,58A,SBST,1,TRUNK,62131.0,75351.0,No Loop,27,75351,11.7,0851,1912,-,-,-,-
269,58,SBST,2,TRUNK,77009.0,53009.0,No Loop,46,53009,20.8,0635,0059,0634,0057,0634,0058
270,57,SBST,2,TRUNK,10009.0,53009.0,No Loop,49,53009,22.2,0628,0100,0649,0101,0648,0059
271,56,SBST,2,TRUNK,2099.0,53009.0,No Loop,29,53009,12.9,0619,0032,0644,0103,0643,0031
272,55B,SBST,1,TRUNK,53009.0,54381.0,No Loop,8,54381,3.4,1925,1955,-,-,-,-
273,55,SBST,2,TRUNK,94009.0,53009.0,No Loop,52,53009,21.1,0611,0038,0627,0043,0634,0041
274,54,SBST,2,TRUNK,10499.0,53009.0,No Loop,42,53009,17.5,0653,0033,0713,0107,0711,0033
275,53M,SBST,1,TRUNK,63261.0,63269.0,S'goon Ctrl,18,63269,6.0,0627,2322,0622,2325,0622,2321
276,53A,SBST,1,TRUNK,77289.0,95129.0,PTB2 Basement,19,95129,11.9,0758,0859,-,-,-,-
277,53,SBST,1,TRUNK,53009.0,53009.0,PTB2 Basement,87,53009,53.0,0605,0132,0604,0133,0625,0122
278,52,SBST,2,TRUNK,28009.0,53009.0,No Loop,49,53009,25.3,0704,0049,0653,0049,0648,0049
279,51A,SBST,1,TRUNK,28009.0,20191.0,No Loop,9,20191,2.9,0011,0030,0010,0030,0011,0029
280,513,SBST,2,EXPRESS,3222.0,75121.0,No Loop,24,75121,24.5,1919,1936,-,-,-,-
281,51,SBST,2,TRUNK,28009.0,64009.0,No Loop,95,64009,36.0,0001,0135,0005,0135,0004,0121
282,506,SBST,2,EXPRESS,94009.0,28009.0,No Loop,48,28009,35.1,0739,0042,0729,0050,0726,0050
283,502A,SBST,1,EXPRESS,22609.0,3529.0,No Loop,39,03529,31.3,0846,0924,-,-,-,-
284,502,SBST,1,EXPRESS,22609.0,22609.0,Central Blvd,89,22609,59.6,0805,0128,0757,0127,0843,0126
285,50,SBST,2,TRUNK,65009.0,53009.0,No Loop,47,53009,18.7,0638,0047,0628,0045,0644,0042
286,5,SBST,2,TRUNK,10009.0,77009.0,No Loop,60,77009,32.9,0650,0048,0700,0054,0650,0047
287,4N,SBST,1,NIGHT SERVICE,2099.0,78059.0,No Loop,84,78059,41.8,-,-,0136,0336,-,-
288,48,SBST,2,TRUNK,11379.0,84299.0,No Loop,54,84299,24.4,0645,0110,0710,0108,0709,0107
289,47,SBST,1,TRUNK,97009.0,97009.0,Amber Rd,52,97009,22.4,0637,0049,0649,0051,0637,0050
290,46,SBST,2,TRUNK,75009.0,94009.0,No Loop,23,94009,8.1,0640,0023,0638,0023,0638,0022
291,45A,SBST,1,TRUNK,63291.0,62139.0,No Loop,6,62139,1.8,0658,0750,-,-,-,-
292,45,SBST,2,TRUNK,55009.0,94009.0,No Loop,50,94009,21.3,0704,0031,0711,0039,0713,0036
293,42,SBST,1,TRUNK,83321.0,83321.0,Fidelio St,22,83321,5.8,0610,2352,0622,2352,0622,2352
294,410W,SBST,1,FEEDER,53009.0,53009.0,Shunfu Rd,22,53009,9.2,0605,0115,0622,0117,0618,0117
295,410G,SBST,1,FEEDER,53009.0,53009.0,Shunfu Rd,23,53009,9.5,0546,0115,0601,0117,0602,0118
296,410,SBST,2,FEEDER,53009.0,53009.0,Shunfu Road,23,53009,9.6,0548,0116,0558,0116,0558,0116
297,405,SBST,1,TRUNK,22009.0,22009.0,Old Choa Chu Kang Rd,35,22009,15.0,0738,1737,0737,1740,0745,1739
298,402,SBST,1,TRUNK,3239.0,3239.0,Marina Coastal Dr,16,03239,9.0,0632,0016,0632,0016,0632,0016
299,401,SBST,1,TRUNK,84009.0,84009.0,Fort Rd,45,84009,25.3,-,-,1513,2317,1108,2117
300,400,SBST,1,TRUNK,3239.0,3239.0,Marina Gdns Dr,17,03239,8.4,0732,2359,0729,2359,0729,2359
301,40,SBST,1,TRUNK,84009.0,84009.0,Merpati Rd,62,84009,23.4,0623,0042,0704,0046,0717,0040
302,4,SBST,1,TRUNK,75009.0,75009.0,Changi Nth Way,26,75009,10.2,0615,0009,0612,0011,0612,0009
303,3N,SBST,1,NIGHT SERVICE,2099.0,45301.0,No Loop,72,45301,38.6,-,-,0135,0332,-,-
304,39,SBST,2,TRUNK,59009.0,75019.0,No Loop,35,75019,26.9,0710,0040,0711,0037,0709,0029
305,38,SBST,2,TRUNK,84009.0,75009.0,No Loop,29,75009,10.8,0550,0115,0547,0121,0545,0115
306,374,SBST,1,FEEDER,67759.0,67759.0,Fernvale Rd,19,67759,8.5,0549,0116,0548,0113,0603,0113
307,372,SBST,1,FEEDER,67009.0,67009.0,Punggol Rd,22,67009,7.9,0542,0057,0543,0058,0627,0056
308,371,SBST,1,FEEDER,67009.0,67009.0,Rivervale Cres,12,67009,4.7,0540,0057,0538,0057,0603,0057
309,37,SBST,1,TRUNK,75009.0,75009.0,Changi Nth Cres,26,75009,10.7,0644,2024,0644,2020,0643,2020
310,35M,SBST,1,TRUNK,84009.0,84009.0,Tanah Merah Ferry Rd,24,84009,17.6,2036,2357,1610,2357,0650,2400
311,35,SBST,1,TRUNK,84009.0,84009.0,Alps Ave,36,84009,43.5,0707,2111,0652,1633,-,-
312,33B,SBST,1,TRUNK,84009.0,81179.0,No Loop,18,81179,6.7,0755,0911,-,-,-,-
313,33A,SBST,1,TRUNK,16009.0,10149.0,No Loop,22,10149,10.9,1654,1930,-,-,-,-
314,33,SBST,2,TRUNK,16009.0,84009.0,No Loop,56,84009,26.0,0642,0104,0715,0102,0718,0056
315,329,SBST,1,FEEDER,64009.0,64009.0,Buangkok Cres,23,64009,6.8,0548,0058,0545,0059,0600,0055
316,325,SBST,1,FEEDER,64009.0,64009.0,Hougang St 91,33,64009,12.3,0546,0117,0546,0111,0635,0109
317,324,SBST,1,FEEDER,64009.0,64009.0,Upp Serangoon View,9,64009,4.2,0539,0047,0539,0048,0602,0047
318,32,SBST,2,TRUNK,11379.0,84009.0,No Loop,57,84009,23.3,0722,0106,0714,0104,0714,0101
319,31A,SBST,1,TRUNK,75009.0,85099.0,No Loop,9,85099,4.5,0703,1141,-,-,-,-
320,317,SBST,1,FEEDER,66009.0,66009.0,Berwick Dr,33,66009,9.5,0605,0122,0601,0121,0617,0122
321,315,SBST,1,FEEDER,66009.0,66009.0,S'goon Nth Ave 5,34,66009,13.1,0544,0123,0540,0123,0605,0122
322,31,SBST,2,TRUNK,52009.0,75009.0,No Loop,47,75009,23.2,0621,0044,0625,0039,0623,0035
323,30e,SBST,2,EXPRESS,16069.0,84009.0,No Loop,44,84009,24.6,1852,1939,-,-,-,-
324,30,SBST,2,TRUNK,22009.0,84009.0,No Loop,76,84009,37.8,0652,0141,0708,0136,0719,0133
325,2N,SBST,1,NIGHT SERVICE,2099.0,75109.0,No Loop,78,75109,38.7,-,-,0126,0326,-,-
326,29A,SBST,1,TRUNK,75009.0,76241.0,No Loop,9,76241,3.0,1748,1957,-,-,-,-
327,298,SBST,1,FEEDER,75019.0,75019.0,Tampines Street 86,24,75019,9.5,0554,0122,0550,0119,0549,0114
328,293,SBST,1,FEEDER,75009.0,75009.0,Tampines St 71,41,75009,15.0,0520,0118,0520,0120,0518,0123
329,292,SBST,1,FEEDER,75009.0,75009.0,Tampines St 22,14,75009,5.9,0533,0111,0543,0112,0542,0112
330,291,SBST,1,FEEDER,75009.0,75009.0,Tampines St 81,29,75009,10.6,0544,0104,0551,0108,0554,0108
331,29,SBST,1,TRUNK,75009.0,75009.0,Changi Village Rd,54,75009,19.5,0620,0043,0623,0044,0618,0041
332,28,SBST,2,TRUNK,52009.0,75009.0,No Loop,56,75009,23.1,0628,0113,0624,0118,0653,0109
333,27A,SBST,1,TRUNK,67261.0,76139.0,No Loop,18,76139,10.4,0639,1033,-,-,-,-
334,273,SBST,1,FEEDER,10009.0,10009.0,Henderson Rd,14,10009,4.8,0546,0022,0544,0022,0620,0022
335,272,SBST,1,FEEDER,10009.0,10009.0,Telok Blangah Rise,14,10009,3.8,0551,0021,0549,0019,0618,0017
336,27,SBST,1,TRUNK,64009.0,64009.0,PTB2 Basement,55,64009,44.5,0646,0138,0643,0138,0642,0132
337,269A,SBST,1,FEEDER,54009.0,55169.0,Ang Mo Kio St 61,12,55169,4.0,1637,2355,-,-,-,-
338,269,SBST,1,FEEDER,54009.0,54009.0,Ang Mo Kio St 61,22,54009,8.4,0553,0131,0553,0131,0553,0131
339,268C,SBST,1,FEEDER,54269.0,55301.0,No Loop,11,55301,4.0,0719,1857,-,-,-,-
340,268B,SBST,1,FEEDER,55309.0,54261.0,No Loop,11,54261,3.8,0651,1920,-,-,-,-
341,268A,SBST,1,FEEDER,55009.0,54659.0,Ang Mo Kio Ave 5,26,54659,8.5,0723,0938,-,-,-,-
342,268,SBST,1,FEEDER,55009.0,55009.0,Ang Mo Kio Ave 5,49,55009,17.2,0615,0109,0611,0110,0628,0110
343,265,SBST,1,FEEDER,55009.0,55009.0,Ang Mo Kio Ave 10,43,55009,18.0,0618,0145,0614,0147,0617,0145
344,262,SBST,1,FEEDER,54009.0,54009.0,Ang Mo Kio Ave 2,24,54009,8.4,0604,0132,0603,0132,0603,0132
345,261,SBST,1,FEEDER,54009.0,54009.0,Ang Mo Kio Ave 10,14,54009,4.8,0531,0122,0533,0124,0533,0123
346,26,SBST,2,TRUNK,52009.0,84009.0,No Loop,30,84009,13.6,0609,0015,0608,0019,0639,0015
347,258,SBST,1,INDUSTRIAL,24009.0,24009.0,Jurong West St 64,41,24009,17.4,0606,0047,0605,0047,0603,0046
348,257,SBST,1,INDUSTRIAL,24009.0,24009.0,Pioneer Sector 2,39,24009,14.6,0638,0001,0636,0001,0634,0002
349,255,SBST,1,INDUSTRIAL,24009.0,24009.0,Gul Cres,24,24009,8.8,0625,2337,0624,2335,0623,2337
350,254,SBST,1,TRUNK,24009.0,24009.0,Tuas Ave 11,42,24009,17.0,0638,0003,0637,0003,0634,0002
351,253,SBST,1,INDUSTRIAL,24009.0,24009.0,Benoi Rd,24,24009,10.9,0622,0001,0620,0001,0618,2400
352,252,SBST,1,INDUSTRIAL,22009.0,22009.0,Joo Koon Rd,37,22009,,0630,0002,0631,2400,0630,0001
353,251,SBST,1,INDUSTRIAL,22009.0,22009.0,Shipyard Rd,32,22009,13.0,0602,0004,0602,0001,0602,0001
354,25,SBST,2,TRUNK,94009.0,54009.0,No Loop,44,54009,18.3,0545,0027,0552,0031,0601,0030
355,249,SBST,1,INDUSTRIAL,22009.0,22009.0,Jln Samulun,38,22009,15.6,0633,0008,0631,0007,0629,0011
356,248,SBST,1,INDUSTRIAL,25009.0,25009.0,Tuas Sth Ave 14,32,25009,22.3,0623,0009,0623,0009,0623,0009
357,247,SBST,1,INDUSTRIAL,25009.0,25009.0,Tuas Bay Link,51,25009,21.3,0627,0010,0627,0010,0627,0010
358,246,SBST,1,INDUSTRIAL,22009.0,22009.0,Boon Lay Dr,45,22009,16.9,0654,0011,0641,0008,0634,0008
359,243W,SBST,1,FEEDER,22009.0,22009.0,Jurong West Ave 5,15,22009,5.1,0548,0103,0556,0103,0554,0103
360,243G,SBST,1,FEEDER,22009.0,22009.0,Jurong West Ave 5,15,22009,5.1,0530,0102,0546,0101,0545,0101
361,242,SBST,1,FEEDER,22009.0,22009.0,Jurong West Ave 5,15,22009,5.7,0521,0106,0520,0105,0534,0105
362,241A,SBST,1,FEEDER,27271.0,22529.0,Jurong West St 91,9,22529,2.6,0622,0941,-,-,-,-
363,241,SBST,1,FEEDER,22009.0,22009.0,Jurong West St 91,18,22009,6.2,0519,0104,0518,0108,0517,0105
364,240M,SBST,1,TRUNK,28091.0,28099.0,Jurong West St 64,15,28099,7.2,0640,1912,-,-,-,-
365,240A,SBST,1,FEEDER,21581.0,28091.0,No Loop,6,28091,1.8,0618,0821,-,-,-,-
366,240,SBST,1,FEEDER,22009.0,22009.0,Jln Ahmad Ibrahim,38,22009,15.4,0550,0128,0541,0124,0602,0127
367,24,SBST,1,TRUNK,54009.0,54009.0,PTB2 Basement,103,54009,51.7,0701,0125,0646,0120,0644,0118
368,238,SBST,1,FEEDER,52009.0,52009.0,Lor 8 Toa Payoh,20,52009,6.6,0539,0108,0538,0110,0538,0107
369,235,SBST,1,FEEDER,52009.0,52009.0,Toa Payoh Rise,23,52009,8.7,0547,0105,0545,0101,0544,0100
370,232,SBST,1,FEEDER,52009.0,52009.0,Toa Payoh East,20,52009,6.4,0517,0055,0516,0052,0517,0053
371,231,SBST,1,FEEDER,52009.0,52009.0,Lor 5 Toa Payoh,18,52009,6.1,0536,0101,0539,0104,0536,0102
372,23,SBST,1,TRUNK,75009.0,75009.0,Rochor Canal Rd,44,75009,31.9,0626,0115,0629,0106,0626,0106
373,229,SBST,1,FEEDER,84009.0,84009.0,Bedok Sth Rd,24,84009,9.9,0623,0117,0626,0119,0620,0113
374,228,SBST,1,FEEDER,84009.0,84009.0,Bedok Reservoir Rd,28,84009,10.7,0538,0119,0555,0123,0611,0112
375,225W,SBST,1,FEEDER,84009.0,84009.0,Bedok Nth St 3,8,84009,3.3,0536,0017,0534,0015,0602,0018
376,225G,SBST,1,FEEDER,84009.0,84009.0,Bedok Nth St 3,10,84009,3.2,0525,0057,0535,0055,0534,0058
377,222B,SBST,1,FEEDER,84039.0,84031.0,Chai Chee Dr,10,84031,3.7,0721,2015,-,-,-,-
378,222A,SBST,1,FEEDER,84009.0,84039.0,No Loop,10,84039,3.9,0618,0724,-,-,-,-
379,222,SBST,1,FEEDER,84009.0,84009.0,Chai Chee Dr,28,84009,11.3,0529,0131,0530,0124,0531,0125
