,ServiceNo,Operator,Direction,Category,OriginCode,DestinationCode,LoopDesc,StopSequence,BusStopCode,TotalDistance,WD_FirstBus,WD_LastBus,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus
537,354,GAS,1,FEEDER,77009.0,77009.0,Jln Loyang Besar,12,77009,4.5,0540,0108,0618,0109,0622,0110
538,34B,GAS,1,TRUNK,75359.0,75351.0,No Loop,46,75351,35.3,0724,1958,-,-,-,-
539,34A,GAS,1,TRUNK,65009.0,76059.0,PTB2 Basement,15,76059,9.1,0615,1035,-,-,-,-
540,34,GAS,1,TRUNK,65009.0,65009.0,PTB2 Basement,56,65009,40.9,0709,0135,0659,0124,0707,0130
541,3,GAS,2,TRUNK,65009.0,75009.0,No Loop,41,75009,19.7,0547,0137,0544,0137,0542,0134
542,2A,GAS,1,TRUNK,10499.0,85091.0,No Loop,34,85091,15.4,0722,2009,-,-,-,-
543,2,GAS,2,TRUNK,10499.0,99009.0,No Loop,62,99009,26.4,0550,0118,0549,0120,0657,0117
544,17A,GAS,1,TRUNK,84009.0,84591.0,Bedok Nth Dr,10,84591,16.4,0631,0024,0628,2326,0621,2321
545,17,GAS,2,TRUNK,84009.0,77009.0,No Loop,29,77009,12.3,0611,0105,0612,0110,0611,0105
546,15A,GAS,1,TRUNK,77009.0,83109.0,Marine Parade Rd,26,83109,12.8,0828,1047,-,-,-,-
547,15,GAS,1,TRUNK,77009.0,77009.0,Marine Parade Rd,71,77009,33.0,0652,0039,0636,0039,0635,0037
548,136,GAS,2,TRUNK,65009.0,54009.0,No Loop,41,54009,16.9,0643,0039,0645,0045,0654,0044
549,12e,GAS,2,EXPRESS,10499.0,77009.0,No Loop,36,77009,25.6,0851,0042,0842,0036,0842,0036
550,12,GAS,2,TRUNK,10499.0,77009.0,No Loop,63,77009,25.7,0700,0125,0718,0124,0732,0123
551,119,GAS,1,TRUNK,65009.0,65009.0,Hougang St 21,48,65009,18.3,0607,0037,0613,0036,0702,0032
552,118B,GAS,1,TRUNK,96111.0,65191.0,No Loop,16,65191,13.4,1644,1749,-,-,-,-
553,118A,GAS,1,TRUNK,65199.0,96119.0,No Loop,16,96119,13.1,0734,0841,-,-,-,-
554,118,GAS,2,TRUNK,97009.0,65009.0,No Loop,25,65009,16.4,0537,0011,0535,0011,0534,0011
